symbol,name,include_decision,pool_tier,branch,business_summary,trend_link,profit_driver,growth_space,valuation_snapshot,latest_validation,key_risk,next_data_to_watch,action,source_url
sz300308,中际旭创,进入观察池,核心跟踪,光模块/CPO,全球高速数通光模块龙头，覆盖800G、1.6T、硅光和下一代光互连技术。,AI集群带宽升级最直接映射在800G/1.6T光模块出货和硅光渗透。,高端光模块出货结构、硅光良率、海外大客户份额和毛利率稳定性共同驱动利润。,主要来自订单可见度、产品迭代和客户份额；估值想象来自1.6T/3.2T与硅光平台延伸。,龙头地位已被市场充分定价，适合跟踪订单和回撤承接，不适合把高景气直接等同于追高。,2026Q1营收和净利继续高增，市场报道指800G与1.6T需求同步提升、交付量快速增长。,客户集中、价格竞争压毛利、CPO路线变化或1.6T订单节奏低于预期。,1.6T排产、硅光占比、重点客户2026-2027需求指引、毛利率。,核心跟踪；只在订单/毛利继续验证且股价出现分歧承接时提高动作级别。,https://finance.sina.com.cn/roll/2026-04-17/doc-inhuvkwu2095950.shtml
sz300502,新易盛,进入观察池,核心跟踪,光模块/CPO,高速光模块供应商，具备800G以上规模量产和1.6T/LPO产品能力。,光模块速率升级直接带来收入结构提升，是AI高速互联的核心映射之一。,800G/1.6T产品占比、规模交付效率、原材料保障和客户认证进度。,来自订单放量、产品迭代、规模制造和海外客户份额提升。,业绩高增已进入市场预期，估值对季度环比和库存变化敏感。,2025年营收和净利大幅增长，2026Q1销售收入同比提升，预付款大增显示备料和交付压力上升。,存货可变现风险、汇兑/财务费用扰动、客户集中与产品降价。,Q2收入环比、原材料预付款消化、1.6T出货占比、存货跌价准备。,核心跟踪；等待急涨后的缩量分歧或订单再确认。,https://finance.sina.com.cn/jjxw/2026-04-23/doc-inhvpcuy3637737.shtml
sz300394,天孚通信,进入观察池,高弹性观察,光模块/CPO,光无源器件和精密光器件平台，供应高速光模块所需关键组件。,高速光模块升级会拉动透镜阵列、隔离器、光引擎相关器件和CPO配套需求。,高速器件订单、产能利用率、产品结构升级和战略客户需求响应速度。,来自1.6T光引擎配套、CPO器件、海外产能和产品迭代。,不是整机模块龙头，估值更依赖高端器件份额和毛利率验证。,2026Q1净利同比增长，市场报道提到AI驱动高速光器件需求旺盛和1.6T光引擎规模量产。,前五大客户集中度高，光通信元器件毛利率已有下滑压力。,高端器件毛利率、CPO配套订单、泰国产能爬坡、客户集中度变化。,进入高弹性观察；跟随光模块龙头验证，不单独按题材追涨。,https://www.stcn.com/article/detail/3768057.html | https://www.nbd.com.cn/articles/2026-04-07/4328213.html
sh688498,源杰科技,暂不进入,高弹性观察,光模块/CPO,高速光芯片和激光器供应商，向数据中心和光通信链条提供上游芯片。,800G/1.6T升级提高对高速光芯片、CW光源和硅光配套的要求。,高毛利数据中心产品收入占比、客户认证、良率和规模出货。,来自国产上游替代、硅光CW光源、产品迭代和客户导入。,弹性强但验证链更长，容易被上游国产替代叙事提前定价。,公告材料显示数据中心业务收入提升，50G/100G/CW光源等产品线持续布局。,客户导入慢、良率和量产能力未充分验证，收入体量仍小于光模块龙头。,数据中心收入占比、重点客户认证、CW光源批量订单、毛利率。,保留研究卡；等数据中心订单和良率验证后再决定是否入池。,https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-25/688498_20260325_ZGFR.pdf
sz002281,光迅科技,旁路观察,间接受益,光模块/CPO,光模块、光器件和光芯片国产供应链平台型公司。,受益于800G/1.6T光模块和CPO器件国产化，但与海外AI大客户链条的直接利润弹性需拆分。,高端数通产品占比、国产客户突破、光芯片自研和利润率修复。,来自国产替代、CPO配套研发和高速光模块产品放量。,更偏国产链映射，若高端AI交付节奏不及龙头，估值弹性会弱化。,2026Q1收入和净利增长，报道提到400G/800G批量出货和1.6T产品布局。,高端AI数通放量节奏、盈利能力和海外客户份额不如第一梯队清晰。,800G/1.6T收入占比、CPO器件订单、国产客户毛利率。,旁路观察；只在国产AI网络订单明确时升级。,https://finance.sina.com.cn/stock/stockzmt/2026-05-08/doc-inhxfanc4113865.shtml
sz002463,沪电股份,进入观察池,核心跟踪,PCB/高速板材/CCL,高端PCB制造商，重点覆盖AI服务器、高速交换机和汽车电子等场景。,AI服务器和高速交换机提升PCB层数、材料等级和订单价值。,高速运算服务器PCB订单、产品结构、产能利用率和汇率影响。,来自订单放量、高阶产品占比、产能扩张和客户份额。,市场已把AI PCB中军属性计入估值，下一阶段看订单和毛利率是否继续兑现。,2026Q1业绩大幅增长，公告口径指受益于高速运算服务器和AI新兴计算场景PCB需求。,高端材料成本、汇兑损失、客户拉货节奏和产能释放不匹配。,AI服务器/交换机PCB收入、毛利率、在建产能投产、汇兑扰动。,核心跟踪；PCB分支首选，等回踩或新增订单验证。,https://www.stcn.com/article/detail/3781672.html
sz300476,胜宏科技,进入观察池,高弹性观察,PCB/高速板材/CCL,PCB厂商，覆盖AI服务器、高多层板、HDI和全球化产能布局。,AI服务器、高速互联和GPU模块提升高多层板与高端HDI需求。,AI/HPC PCB收入占比、高层板产品结构、产能扩张和交付效率。,来自高多层板订单、产品迭代、海外募资后产能和份额提升。,弹性大但波动也大，港股募资和高景气已经被充分交易，需要业绩继续跟上。,2026Q1营收和净利增长，市场报道强调AI PCB龙头属性及H股募资支持全球产能布局。,扩产后利用率、客户集中、原材料成本和高位交易拥挤。,AI/HPC收入占比、100层以上产品、募资用途落地、毛利率。,高弹性观察；只在业绩和订单继续验证时保留，避免把涨幅当逻辑。,https://www.stcn.com/article/detail/3851825.html
sh600183,生益科技,进入观察池,核心跟踪,PCB/高速板材/CCL,覆铜板和电子材料龙头，覆盖高频高速覆铜板、封装基材和PCB产业链上游。,高速交换机和AI服务器升级推高M7/M8/M9等高速材料需求，低Dk玻纤布瓶颈强化景气。,覆铜板销量、售价、产品结构升级和涨价传导能力。,来自高性能覆铜板项目、AI服务器高频高速材料、价格和份额提升。,材料链景气被持续重估，关键不是题材纯度而是涨价能否转成利润。,2025年营收和净利高增，并公告约52亿元高性能覆铜板项目，产品面向AI服务器等领域。,原材料涨价不能完全转嫁、扩产周期长、下游砍单导致库存压力。,M7/M8/M9材料认证、覆铜板毛利率、涨价落地、高性能项目节奏。,核心跟踪；作为PCB材料分支锚点保留。,https://finance.sina.com.cn/wm/2026-04-27/doc-inhvxhze9061304.shtml | https://finance.sina.com.cn/stock/aigc/tzxm/2026-04-25/doc-inhvrtis4435835.shtml
sz002916,深南电路,暂不进入,间接受益,PCB/高速板材/CCL,高端PCB、封装基板和电子装联平台型公司，业务质量较高。,AI服务器、高速交换机和光模块带动高端PCB需求，公司有数据中心和通信PCB映射。,PCB业务收入、毛利率、产能瓶颈缓解和封装基板稼动率。,来自数据中心PCB、通信板、封装基板和国产算力链条。,质量中军属性强，但与本主题的边际弹性弱于沪电和胜宏，适合等更清晰的订单拆分。,2026Q1营收和净利增长，2025年PCB业务受益AI算力基础设施和高速交换机需求。,产能瓶颈、外协费用、封装基板周期和多业务稀释高速互联弹性。,数据中心PCB收入、通信PCB订单、封装基板稼动率、毛利率。,保留研究卡；当前不占观察池名额，等数据中心收入拆分更清晰。,https://finance.sina.com.cn/roll/2026-04-23/doc-inhvnxnu4907483.shtml | https://www.nbd.com.cn/articles/2026-03-12/4290324.html
sz002130,沃尔核材,进入观察池,高弹性观察,铜缆/连接器,电子材料、通信线缆、电力和新能源业务并行，高速通信线是AI数据中心增量业务。,短距高速互联仍需要DAC/AEC和224G/448G高速通信线，AI集群扩容带来铜缆需求。,高速通信线收入、224G批量交付、448G客户验证和设备产能。,来自订单放量、产品迭代、客户渗透率和高速通信线收入占比提升。,不是纯互联公司，但高速通信线已出现收入验证，可作为铜缆分支弹性观察。,2025年高速通信线产品持续交付，报道提到224G占比较高、448G样品交由重点客户验证。,传统业务稀释、客户和订单透明度不足、铜缆热度退潮快。,高速通信线收入占比、224G/448G订单、产能利用率、毛利率。,进入高弹性观察；只作为铜缆分支代表，不扩成泛材料池。,https://finance.sina.com.cn/roll/2026-03-31/doc-inhswxzu2341137.shtml | https://www.nbd.com.cn/articles/2026-01-15/4222545.html
