symbol,name,include_decision,pool_tier,branch,business_summary,trend_link,profit_driver,growth_space,valuation_snapshot,latest_validation,key_risk,next_data_to_watch,action,source_url
sh688017,绿的谐波,进入观察池,核心跟踪,谐波/精密减速器,国内谐波减速器龙头，收入和利润对精密传动景气更敏感。,人形机器人关节传动需要高精度减速器，是执行器BOM里最直接的A股映射之一。,利润主要来自谐波减速器出货、产能利用率和毛利率；机器人订单如果批量化，会直接影响收入弹性。,成长空间来自国产替代、机器人客户批量订单和规模降本，不来自单纯概念扩散。,市场已按核心零部件稀缺性定价，估值容错不高，适合跟踪验证而不是追高。,公司持续被市场作为谐波减速器核心标的跟踪；下一步要用订单、产能利用率和毛利率验证。,若人形机器人订单落地慢，或减速器价格战压缩毛利，纯度反而会放大股价波动。,机器人客户订单、出货量、产能利用率、谐波减速器毛利率、中报机器人相关描述。,核心跟踪，不追高；只在订单或分歧后承接信号出现时升级动作。,https://star.sse.com.cn/star/en/marketdata/snapshot/c/5545073.shtml
sz002472,双环传动,进入观察池,核心跟踪,谐波/精密减速器,精密齿轮和传动件公司，汽车齿轮是基本盘，智能执行机构提供机器人链映射。,精密传动能力可迁移到机器人减速器和执行机构，是减速器分支里比纯概念更有产业基础的标的。,利润来自汽车齿轮基本盘和智能执行机构增量；趋势影响利润的关键是新业务收入占比和毛利率能否上来。,成长空间来自智能执行机构收入增长、客户拓展和份额提升。,基本盘较厚，估值压力比纯小票可控，但机器人弹性需要收入拆分验证。,投资者关系材料提到智能执行机构收入高增，是比样机故事更强的验证，但仍需拆机器人贡献。,智能执行机构高增若主要来自非人形机器人或汽车链，主题弹性会被高估。,智能执行机构收入、机器人客户、毛利率、公告后价格承接。,进入核心观察池，等回踩承接和收入拆分验证。,https://static.cninfo.com.cn/finalpage/2025-05-06/1223478836.PDF
sh603009,北特科技,进入观察池,高弹性观察,丝杠/轴承,汽车零部件公司，市场主要跟踪其滚柱丝杠和精密部件的人形机器人映射。,滚柱丝杠是线性执行器关键部件之一，若客户验证走向批量，会成为丝杠分支高弹性标的。,当前利润仍靠原有汽车零部件，机器人丝杠要等客户认证、良率和量产订单才能影响利润。,成长空间来自样件验证转批量订单、产线投放和份额想象。,交易的是订单预期和小基数弹性，估值对延迟验证很敏感。,市场关注滚柱丝杠样件和客户验证进度，但可确认的收入占比仍不足。,样件不等于定点，定点不等于批量收入；若中报仍无订单证据，需要降级。,客户认证、批量订单、丝杠产线资本开支、收入占比。,保留高弹性观察，只看订单验证，不按概念加权。,https://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=603009
sh603667,五洲新春,进入观察池,高弹性观察,丝杠/轴承,轴承、精密零部件公司，机器人方向主要看丝杠、轴承和精密加工能力。,丝杠和轴承处在线性执行与关节传动的基础件位置，受益于机器人执行器放量。,利润来源仍是轴承和精密件基本盘；机器人业务影响利润要靠订单规模和良率。,成长空间来自丝杠/轴承客户验证、量产良率、产品结构升级。,题材弹性较强，市场容易提前交易量产想象，估值需要订单兑现托底。,机器人零部件和丝杠方向被反复关注，但缺少连续订单和财务拆分。,若只有产业链布局没有可披露订单，股价弹性会先于利润透支。,丝杠订单、机器人客户、轴承/丝杠收入拆分、毛利率变化。,进入观察池，但定位高弹性，不作为核心确定性仓位。,https://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=603667
sz002050,三花智控,进入观察池,核心跟踪,执行器总成,热管理龙头，机器人方向重点在机电执行器和总成能力。,执行器总成直接连接电机、传动、控制和结构件，是人形机器人硬件链的中军型映射。,利润主要由热管理主业贡献；机器人执行器若量产，会通过新客户和总成出货形成增量。,成长空间来自客户研发试制转量产、平台化总成能力和份额提升。,大市值中军，估值已包含部分机器人预期，短期弹性不如小票但验证价值更高。,投资者关系记录明确聚焦机电执行器，并配合客户研发、试制、迭代至量产落地。,机器人收入占比可能长期较低，主业估值和机器人叙事容易互相拉扯。,客户量产节点、执行器收入披露、资本开支、毛利率和订单节奏。,作为执行器总成中军进入观察池，只在量产证据增强时加权。,https://static.cninfo.com.cn/finalpage/2025-03-27/1222929865.PDF
sz300580,贝斯特,暂不进入,间接受益,丝杠/轴承,精密零部件和智能装备公司，市场关注滚柱丝杠、精密加工和产能布局。,公司处在线性执行器精密加工链，能受益于丝杠国产化和机器人零部件放量。,利润主要来自原有精密零部件；机器人链贡献取决于新产能爬坡和客户订单。,成长空间来自产能建设、客户定点和订单从验证转收入。,有产业位置，但机器人收入证明不足，估值不能直接按纯丝杠标的处理。,投资者关系和公告侧重精密部件、丝杠能力与产能建设，财务端仍待验证。,产能先行而订单滞后，或机器人收入占比太低。,丝杠产能、客户定点、机器人相关收入、设备利用率。,暂不进入观察池，作为丝杠链间接受益保留研究卡。,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=300580
sh601689,拓普集团,旁路观察,间接受益,执行器总成,汽车零部件平台型公司，机器人方向看客户协同、执行器和制造能力迁移。,具备大客户配套和制造体系，可能参与机器人执行器或结构件，但与减速器/丝杠纯度不高。,利润主要来自汽车零部件；机器人业务短期更像估值想象而非财务主驱动。,成长空间来自客户项目、产线落地和平台制造能力外溢。,大票估值受汽车业务和机器人预期共同影响，执行器逻辑难单独定价。,公司公开材料强调平台化制造和可持续发展，机器人具体收入验证不足。,机器人线索无法独立影响利润，容易被汽车主业周期覆盖。,机器人客户、执行器产线、项目定点、收入披露。,旁路观察，只在客户/产线明确后再考虑进入观察池。,https://www.tuopu.com/wp-content/uploads/2026/04/%E6%8B%93%E6%99%AE%E9%9B%86%E5%9B%A22025%E5%B9%B4%E5%BA%A6%E5%8F%AF%E6%8C%81%E7%BB%AD%E5%8F%91%E5%B1%95%E6%8A%A5%E5%91%8A.pdf
sh603728,鸣志电器,暂不进入,间接受益,电机/控制,控制电机及驱动系统公司，产品覆盖步进、电机、驱动和控制。,执行器需要电机和驱动控制，鸣志处在电机分支，但不是减速器或丝杠核心环节。,利润来自电机和驱动产品；机器人订单若进入批量，会改善产品结构和需求弹性。,成长空间来自空心杯/控制电机进入机器人客户、海外与工业自动化需求恢复。,估值取决于电机景气和机器人订单，当前更适合等客户批量证据。,市场持续关注其机器人电机映射，但收入端需要和自动化需求区分。,电机订单如果主要来自传统自动化，机器人弹性会被高估。,机器人客户订单、电机新品、收入结构、毛利率。,暂不进入观察池，等电机订单验证。,https://www.sse.com.cn/disclosure/listedinfo/regular/
sz002979,雷赛智能,暂不进入,间接受益,电机/控制,运动控制、伺服驱动和控制系统公司，服务自动化设备客户。,机器人执行器需要运动控制和驱动，但公司更偏自动化底座，和人形机器人执行器订单距离较远。,利润来自伺服、步进和控制产品；趋势影响利润需要机器人客户放量而非泛自动化复苏。,成长空间来自伺服产品升级、机器人客户拓展和自动化需求恢复。,估值更像自动化周期票，机器人题材只能作为附加项。,控制/伺服业务具备底座属性，但暂无足够证据证明人形机器人收入弹性。,把自动化景气误判为机器人订单，会造成主题错配。,机器人客户收入、伺服订单、下游自动化景气、价格趋势。,暂不进入观察池，保留为电机控制分支样本。,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=002979
sz002896,中大力德,旁路观察,题材映射,谐波/精密减速器,小型减速器、电机和传动产品公司，具备机器人执行单元题材映射。,产品接近减速器和执行单元，但公司规模和利润承接能力需要谨慎验证。,利润来自减速器、电机及机电一体化产品；机器人趋势只有在订单放量时才会改善利润质量。,成长空间来自机器人减速器和执行单元订单，也来自市场对小型传动件的弹性想象。,题材弹性强，基本面证明不足时估值容易大幅波动。,投资者关系材料多次提及机器人相关产品，但财务端仍需订单和利润验证。,利润绝对额和业务规模承接不了高弹性预期。,机器人产品收入、订单、毛利率、公告后股价反应。,旁路观察，只用于观察题材弹性，不纳入核心观察池。,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12274854&stockid=002896
sz300503,昊志机电,旁路观察,题材映射,执行器总成,高端装备核心功能部件公司，市场关注关节模组、减速器、主轴等高端部件。,与机器人关节模组和高端部件存在映射，但不是当前减速器/丝杠最清晰的主线标的。,利润来自装备功能部件，机器人趋势需要订单和产品结构改善才能传导。,成长空间来自关节模组、机器人部件订单和高端装备国产替代。,题材属性较强，估值更依赖订单质量和利润修复。,机器人部件方向有市场关注，但缺少与本主题强绑定的连续财务验证。,题材先涨、利润后验失败，导致估值回落。,机器人部件订单、关节模组进展、利润率、应收与现金流。,旁路观察，不进入当前观察池。,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=300503
sz300124,汇川技术,旁路观察,间接受益,机器人成套/自动化底座,工控和自动化龙头，覆盖伺服、控制、工业机器人等自动化底座。,处在电机控制和自动化底座分支，可验证行业景气，但对执行器/减速器主题不够纯。,利润由工控、新能源车和自动化业务驱动；机器人执行器对整体利润弹性有限。,成长空间来自自动化周期、伺服份额、工业机器人和平台化能力。,高质量大票，机器人执行器主题只是一部分估值叙事。,自动化底座强，但不是本页要找的减速器/丝杠/执行器纯标的。,主题贡献被主业体量稀释，难作为本方向高弹性观察池成员。,伺服订单、工业机器人收入、自动化景气、人形机器人客户线索。,旁路观察，作为行业底座，不进入观察池。,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=300124
