symbol,code,name,role,purity_tier,tracking_role,core_question,strong_trigger,weak_trigger
sz300021,300021,大禹节水,节水灌溉/抗旱项目,A,节水抗旱核心观察,旱情是否转化为节水灌溉订单和收入,重点区域旱情+水利节水订单同步出现,只有天气新闻没有订单
sz000998,000998,隆平高科,种业/农业科技,A,种业核心观察,作物价格上行能否带动种子需求和利润改善,粮价趋势上行且种子销售/利润改善,种业需求滞后或估值先炒无财务兑现
sz002041,002041,登海种业,玉米种子,B,玉米种业观察,玉米景气是否传导到种业收入,玉米价格和种子销量同步改善,玉米价格不涨或库存压制
sz300087,300087,荃银高科,水稻/玉米种业,B,水稻种业观察,天气扰动是否带来补种或高端种子需求,稻米/玉米价格上行且订单改善,需求没有传导到公司订单
sh600598,600598,北大荒,粮食种植/土地资源,B,粮食种植观察,粮价上行与单产变化谁占主导,粮价上涨且单产未明显受损,天气冲击导致产量受损大于价格收益
sh601952,601952,苏垦农发,粮食种植/农服,B,粮食种植观察,粮价和单产如何影响利润,粮价/政策托底改善利润预期,天气冲击压低产量
sh600096,600096,云天化,磷肥/化肥,B,农资弹性观察,作物价格是否传导到磷肥需求,化肥价格和销量同步改善,化肥价格独立走弱或库存压力
sz000893,000893,亚钾国际,钾肥,B,钾肥观察,全球农业景气是否带动钾肥价格,钾肥价格和销量改善,钾肥供给或价格下行
sz000902,000902,新洋丰,复合肥,B,复合肥观察,种植收益改善是否带动施肥需求,销量和毛利率同步改善,农资需求不及预期
sh600486,600486,扬农化工,农药/植保,B,农药质量观察,极端天气是否实际增加植保需求,病虫害或补种带来订单改善,农药周期与天气不共振
sz000333,000333,美的集团,空调/制冷,C,高温链中军,高温负荷是否带动空调出货超预期,持续高温+空调出货超预期,天气不热或需求已提前反映
sz002050,002050,三花智控,制冷零部件/热管理,C,制冷零部件观察,制冷和热管理需求是否超预期,空调/热管理订单超预期,估值已充分反映或需求不及预期
sh601118,601118,海南橡胶,天然橡胶种植/加工/贸易,A,橡胶最纯核心观察,RU/NR价格上涨是否传导到自产胶盈利与贸易利润,厄尔尼诺确认+东南亚/海南产量受扰+RU/NR趋势上行,天气未扰动产量或胶价不涨
sh600469,600469,风神股份,轮胎/橡胶制品,C,下游成本压力观察,轮胎提价能否覆盖天然橡胶成本上升,轮胎提价和需求强于原料涨价,高胶价压缩毛利率
sz000589,000589,贵州轮胎,轮胎,C,下游成本压力观察,橡胶成本上升是否压缩毛利率,轮胎提价和海外需求对冲成本,高胶价无法传导
sh601058,601058,赛轮轮胎,轮胎,C,轮胎龙头旁路观察,产品提价/汇率/出口能否对冲原料压力,出口和提价强于原料涨价,胶价上涨拖累毛利率
sh601966,601966,玲珑轮胎,轮胎,C,轮胎龙头旁路观察,高胶价是否压缩毛利率,轮胎提价兑现且需求强,原料成本上升侵蚀利润
