symbol,name,include_decision,pool_tier,branch,business_summary,trend_link,profit_driver,growth_space,valuation_snapshot,latest_validation,key_risk,next_data_to_watch,action,source_url
sh600584,长电科技,进入观察池,核心跟踪,先进封装/封测,全球主要封测厂，覆盖晶圆级、SiP、倒装、系统级封装和测试服务，是A股最直接的OSAT容量映射。,AI GPU/ASIC和HBM带来的2.5D/3D、chiplet和高密度互连需求，首先传导到先进封装产能、良率和客户装载率。,利润来自封测加工费、产品结构升级和产线稼动率；趋势若兑现，应表现为先进封装收入占比、毛利率和现金流改善。,主要来自订单和份额，次要来自产能利用率修复；不把玻璃基板等远期题材并入长电的当期利润判断。,大市值封测龙头，估值通常跟随半导体周期和先进封装订单预期摆动；当前更适合等财报验证和回踩承接。,公司已反复强调先进封装能力建设；本地热点中封测排名靠前，正在验证市场是否把AI封装瓶颈映射到容量龙头。,A股订单披露颗粒度不足，若先进封装未带来毛利率改善，龙头属性只能提供防守，缺少弹性。,2026中报先进封装收入、客户订单、稼动率、毛利率、经营现金流。,纳入观察池核心跟踪；只在订单/财报验证或分歧后重新承接时升级动作。,https://www.stcn.com/article/detail/3901109.html
sz002156,通富微电,进入观察池,高弹性观察,先进封装/封测,封测厂，产品覆盖集成电路封装测试，市场常把它与CPU/GPU、Chiplet和高性能计算封测弹性绑定。,AI算力芯片从单芯片转向chiplet和高带宽存储协同后，封装测试复杂度上升，通富是A股弹性最高的封测映射之一。,利润来自高性能计算封测订单、先进封装产线稼动率和产品结构；趋势影响通过收入增速和毛利率弹性体现。,主要来自订单和产能装载，另有海外大客户/CPU GPU链条带来的估值想象。,弹性票属性更强，热度上来时估值容易提前反映订单；追高性价比低于等分歧后的验证。,2025年报披露公司继续推进先进封装和高性能计算相关业务；本地封测主题代表票显示市场正在交易它的容量弹性。,如果高性能计算订单没有转化为利润，或者客户集中度带来收入波动，股价弹性会反向放大。,HPC/先进封装收入口径、重要客户拉货节奏、毛利率、资本开支和在建产线投产。,纳入观察池高弹性位；热度过高时只跟踪，不把题材强度等同于买点。,https://static.cninfo.com.cn/finalpage/2026-04-17/1225112762.PDF
sz002185,华天科技,旁路观察,间接受益,先进封装/封测,综合封测厂，覆盖多类型封装测试和传统半导体封测需求。,封测主题扩散时会跟随受益，但与AI HPC先进封装的直接订单绑定弱于长电、通富。,利润更依赖整体封测景气、产能利用率和产品结构，而不是单一AI先进封装订单。,成长空间主要来自传统封测周期修复和先进封装占比提升的可能性，当前证据不足以进入核心池。,更像封测板块补涨和景气修复映射，估值弹性依赖市场风险偏好。,2025年报能看到封测业务和先进封装布局，但仍需公司披露AI/HPC相关收入或客户订单。,用传统封测复苏替代AI先进封装验证，导致主题纯度错判。,先进封装收入占比、客户结构、毛利率和产能利用率。,不进入观察池；保留旁路用于判断封测板块扩散宽度。,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=12045582&stockid=002185
sz002436,兴森科技,进入观察池,核心跟踪,IC载板/ABF,PCB样板、小批量板和封装基板平台，市场重点看FC-BGA、IC载板产线爬坡和客户认证。,AI先进封装需要更高层数、更低翘曲和高可靠性的封装基板，FC-BGA/ABF是A股少数能承接国产替代叙事的分支。,利润来自封装基板订单放量、产线稼动率和良率爬坡；AI趋势会通过高端载板需求和国产客户导入影响利润。,主要来自订单、产能爬坡和份额；如果FC-BGA验证顺利，估值想象会明显放大。,载板成长逻辑清晰但业绩兑现慢，估值会在认证/投产/亏损收窄之间大幅波动。,2025年报继续把封装基板和FC-BGA作为关键方向；当前需要从产能建设转向客户订单验证。,FC-BGA客户认证周期长、良率和稼动率爬坡慢，资本开支先于利润释放。,FC-BGA客户认证、量产订单、广州/珠海产线利用率、封装基板毛利率。,纳入观察池核心跟踪；只在订单和稼动率证据强化后提高权重。,https://www.fxbaogao.com/detail/5376267
sz002916,深南电路,旁路观察,间接受益,IC载板/ABF,PCB、封装基板和电子装联平台型公司，质量和客户能力强，但业务更分散。,AI服务器PCB和高端封装基板都与算力链相关，但先进封装主题只是公司多条成长线之一。,利润来自PCB、封装基板和通信/数据中心需求组合；AI先进封装影响更多通过高端载板和服务器板订单体现。,订单和份额是主驱动，弹性小于纯载板或封测弹性票。,更偏质量公司，估值承压通常来自业绩增速而非单一题材；不适合用主题热度追高。,2025年报显示封装基板业务仍是重要分支，但需要确认AI服务器和载板订单对利润的边际贡献。,公司质量高但主题弹性不够直接，容易被纳入过宽的AI先进封装池。,封装基板收入、AI服务器PCB订单、毛利率、产能利用率。,不进入观察池；保留为质量旁路，验证载板链景气而非作为主攻标的。,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=11992828&stockid=002916
sh688535,华海诚科,进入观察池,高弹性观察,封装材料,半导体封装材料公司，核心产品包括环氧塑封料，市场关注GMC等先进封装材料导入。,先进封装从传统EMC向颗粒状环氧塑封料、底填、低应力和高可靠材料升级，材料国产替代弹性集中。,利润来自高端封装材料客户导入、单价提升和毛利率改善；AI趋势影响通过先进封装材料放量体现。,主要来自客户认证转订单和高端产品占比提升，产能不是唯一约束。,小市值材料弹性强，估值对客户验证和订单披露高度敏感；证据不够时容易被题材透支。,2025年报披露公司推进GMC等先进封装材料；当前要看导入是否从送样认证进入收入贡献。,材料验证周期长，若客户导入慢或价格竞争加剧，利润弹性会低于题材预期。,GMC/先进封装材料订单、客户认证状态、产品单价、毛利率。,纳入观察池高弹性位；用客户导入和毛利率验证，不用概念热度加仓。,https://cniis.aastocks.com/CNSESH_STOCK/2026/2026-3/2026-03-18/12000695.pdf
sh688300,联瑞新材,进入观察池,间接受益,封装材料,功能性粉体材料公司，球形硅微粉等产品用于覆铜板、封装材料和电子材料体系。,ABF/封装材料升级需要低膨胀、高填充、高可靠填料，联瑞是材料上游相对清晰的A股映射。,利润来自高端球形粉体放量、电子级材料占比提升和客户结构升级；趋势影响通过封装/载板材料需求拉动体现。,成长来自产品结构、订单和份额，估值想象来自先进封装材料国产替代。,材料质量票属性强，弹性不如华海诚科，但若高端产品占比提升，估值更容易获得稳定支撑。,公司参与或牵头半导体封装用球形硅微粉标准，侧面验证其在封装材料链条的产业位置。,作为上游填料，收入传导链条较长，可能出现行业热但公司利润弹性有限。,电子级球形粉体销量、封装/载板客户占比、毛利率、扩产进度。,纳入观察池的间接受益位；用于跟踪材料链兑现质量。,https://novoray.com/index.php/news/content/id/13/artid/173.html
sh688082,盛美上海,暂不进入,题材映射,设备,半导体清洗、电镀、先进封装湿法设备平台，客户覆盖晶圆制造和封装相关环节。,先进封装扩产需要清洗、电镀、湿法工艺等设备，但公司收入也受晶圆厂资本开支和设备验收周期影响。,利润来自设备订单、交付验收和产品组合；AI先进封装只是订单结构中的一个方向。,成长空间来自订单和份额，特别是先进封装设备能否形成持续订单。,设备平台公司估值更多由整体半导体设备国产替代和订单能见度决定，不能只按AI封装主题重估。,2025年报披露先进封装相关设备布局；但需要拆出订单、验收和收入确认节奏。,泛设备逻辑过宽，先进封装订单占比不清晰时不适合进入主题观察池。,先进封装设备订单、交付验收、在手订单结构、客户扩产节奏。,暂不进入观察池；等先进封装设备订单占比或验收数据更清楚。,https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-02-27/688082_20260227_7FPP.pdf
sh688630,芯碁微装,暂不进入,题材映射,设备,直写光刻设备公司，产品应用于PCB、泛半导体和封装载板等制造场景。,IC载板和先进封装对图形化精度和效率要求提高，直写光刻设备具备产业映射。,利润来自设备销售、客户扩产和验收确认；主题影响要通过封装载板客户订单体现。,成长主要来自订单和份额，若封装载板客户扩产加速会带来弹性。,设备弹性票，估值对订单披露敏感；没有封装载板订单细节时不进入核心。,2025年报显示公司继续拓展泛半导体与PCB直写光刻设备；当前缺少AI先进封装订单的直接验证。,PCB设备和先进封装设备边界容易混淆，主题映射可能大于实际利润贡献。,IC载板/封装客户订单、验收节奏、收入确认、毛利率。,暂不进入观察池；作为设备分支样本保留在研究卡。,https://www.fxbaogao.com/detail/5299419
sh603773,沃格光电,旁路观察,题材映射,玻璃基板,玻璃精加工和显示相关公司，市场把TGV玻璃基板、面板级封装等路线映射到公司。,玻璃基板是下一代先进封装潜在路线，但距离大规模商业化仍需客户认证、良率和小批量订单证明。,利润当前不主要来自AI先进封装，趋势影响更多是路线验证带来的订单想象和估值弹性。,主要来自估值想象和潜在订单，短期不是财报利润驱动。,题材弹性很高，价格阶段风险通常高于基本面验证速度；适合旁路监控，不适合作为观察池核心。,本地先进封装主题代表票出现沃格光电，说明市场正在交易玻璃基板路线；同时公开信息仍缺少稳定量产和利润验证。,只有路线和涨幅，没有客户认证、良率、小批量订单或收入贡献。,TGV/玻璃基板客户认证、小批量订单、良率、产能和收入口径。,不进入观察池；作为玻璃基板路线旁路观察，防止题材带偏核心池。,https://www.stcn.com/article/detail/3788771.html | https://www.intc.com/news-events/press-releases/detail/1647/intel-unveils-industry-leading-glass-substrates-to-meet
