trade_date,symbol,name,source_id,source_name,source_type,source_version,rank,score,score_scale,horizon,suggested_action,action_label,entry_allowed,reason_summary,business_source_name,entry_date,entry_open,market_regime,market_detail,market_detail_label,default_action,water_score,reason_top3,csi1000_return_5d_pct,csi1000_return_20d_pct,all_up_ratio_1d,all_up_ratio_3d,all_up_ratio_5d,all_up_ratio_10d,all_up_ratio_20d,all_med_ret_1d,all_med_ret_3d,all_med_ret_5d,all_med_ret_10d,all_med_ret_20d,small_up_ratio_1d,small_up_ratio_3d,small_up_ratio_5d,small_up_ratio_10d,small_up_ratio_20d,small_med_ret_1d,small_med_ret_3d,small_med_ret_5d,small_med_ret_10d,small_med_ret_20d,large_up_ratio_1d,large_up_ratio_3d,large_up_ratio_5d,large_up_ratio_10d,large_up_ratio_20d,large_med_ret_1d,large_med_ret_3d,large_med_ret_5d,large_med_ret_10d,large_med_ret_20d,full_5d,days_5d,mfe_5d_pct,mae_5d_pct,close_5d_pct,pitfall_5d,pitfall_reason_5d,full_10d,days_10d,mfe_10d_pct,mae_10d_pct,close_10d_pct,pitfall_10d,pitfall_reason_10d,full_22d,days_22d,mfe_22d_pct,mae_22d_pct,close_22d_pct,pitfall_22d,pitfall_reason_22d,buyable,spark_score_bucket,rank_bucket
2026-03-02,sz000833,sz000833,spark_opportunity_selector,星火机会模型 1.0,model,1.0,1,36.138681,raw,22d,candidate_buy,明日可买,1,22日冲高机会分靠前，L2主力净流入强、主动买入强,星火机会模型,2026-03-03,24.81,caution,caution,谨慎,观察为主,44.3198,5日上涨占比45.0%；10日上涨占比45.3%；10日中位涨跌幅-0.7%,3.316773411522722,0.07344337341426144,24.3243,37.3979,45.0346,45.3317,43.7874,-1.99,-1.5221,-0.6382,-0.742,-1.0453,10.8177,23.0835,31.9421,31.0315,35.2389,-2.9542,-2.9547,-2.2513,-2.8169,-2.4709,47.5862,57.931,61.2414,63.0345,56.6298,-0.1359,1.0042,2.3242,2.6667,1.5389,1,5,16.4853,-5.8847,7.4567,0,,1,10,22.1685,-5.8847,11.1649,0,,1,22,22.1685,-5.8847,0.9674,0,,1,35-40,top1
2026-03-02,sz002655,sz002655,spark_opportunity_selector,星火机会模型 1.0,model,1.0,2,33.597568,raw,22d,candidate_buy,明日可买,1,22日冲高机会分靠前，突破结构强、L2主力净流入强、主动买入强、出货压力不高,星火机会模型,2026-03-03,18.1,caution,caution,谨慎,观察为主,44.3198,5日上涨占比45.0%；10日上涨占比45.3%；10日中位涨跌幅-0.7%,3.316773411522722,0.07344337341426144,24.3243,37.3979,45.0346,45.3317,43.7874,-1.99,-1.5221,-0.6382,-0.742,-1.0453,10.8177,23.0835,31.9421,31.0315,35.2389,-2.9542,-2.9547,-2.2513,-2.8169,-2.4709,47.5862,57.931,61.2414,63.0345,56.6298,-0.1359,1.0042,2.3242,2.6667,1.5389,1,5,0.2762,-12.5967,-4.4751,1,最大浮亏8%,1,10,0.9945,-12.5967,-1.768,1,最大浮亏8%,1,22,5.7459,-12.5967,3.2044,1,最大浮亏8%,1,<35,top3
2026-03-02,sz002491,sz002491,spark_opportunity_selector,星火机会模型 1.0,model,1.0,3,33.129447,raw,22d,watch,观察,0,22日冲高机会分靠前，突破结构较好、L2主力净流入强、主动买入强,星火机会模型,2026-03-03,11.62,caution,caution,谨慎,观察为主,44.3198,5日上涨占比45.0%；10日上涨占比45.3%；10日中位涨跌幅-0.7%,3.316773411522722,0.07344337341426144,24.3243,37.3979,45.0346,45.3317,43.7874,-1.99,-1.5221,-0.6382,-0.742,-1.0453,10.8177,23.0835,31.9421,31.0315,35.2389,-2.9542,-2.9547,-2.2513,-2.8169,-2.4709,47.5862,57.931,61.2414,63.0345,56.6298,-0.1359,1.0042,2.3242,2.6667,1.5389,1,5,13.5112,-11.1015,-5.4217,1,收盘亏5%且最大浮亏8%,1,10,13.5112,-11.1015,-6.6265,1,收盘亏5%且最大浮亏8%,1,22,13.5112,-19.6213,2.926,1,最大浮亏8%,0,<35,top3
2026-03-02,sz001267,sz001267,trend_continuation_callback,趋势中继高质量回踩,rule_strategy,S02-current-candidate-20260427,1,79.15,raw,swing,watch,观察中,0,进入趋势中继观察池；等待严格回踩和真承接确认,趋势延续策略,2026-03-03,36.91,caution,caution,谨慎,观察为主,44.3198,5日上涨占比45.0%；10日上涨占比45.3%；10日中位涨跌幅-0.7%,3.316773411522722,0.07344337341426144,24.3243,37.3979,45.0346,45.3317,43.7874,-1.99,-1.5221,-0.6382,-0.742,-1.0453,10.8177,23.0835,31.9421,31.0315,35.2389,-2.9542,-2.9547,-2.2513,-2.8169,-2.4709,47.5862,57.931,61.2414,63.0345,56.6298,-0.1359,1.0042,2.3242,2.6667,1.5389,1,5,14.1696,-11.1081,12.5169,1,最大浮亏8%,1,10,35.3292,-11.1081,15.9306,1,最大浮亏8%,1,22,35.3292,-11.1081,7.6944,1,最大浮亏8%,0,,top1
2026-03-02,sh603688,sh603688,trend_continuation_callback,趋势中继高质量回踩,rule_strategy,S02-current-candidate-20260427,2,75.79,raw,swing,watch,观察中,0,进入趋势中继观察池；等待严格回踩和真承接确认,趋势延续策略,2026-03-03,52.2,caution,caution,谨慎,观察为主,44.3198,5日上涨占比45.0%；10日上涨占比45.3%；10日中位涨跌幅-0.7%,3.316773411522722,0.07344337341426144,24.3243,37.3979,45.0346,45.3317,43.7874,-1.99,-1.5221,-0.6382,-0.742,-1.0453,10.8177,23.0835,31.9421,31.0315,35.2389,-2.9542,-2.9547,-2.2513,-2.8169,-2.4709,47.5862,57.931,61.2414,63.0345,56.6298,-0.1359,1.0042,2.3242,2.6667,1.5389,1,5,6.8008,-8.3716,-2.2605,1,最大浮亏8%,1,10,6.8008,-12.7203,-9.5977,1,收盘亏5%且最大浮亏8%,1,22,6.8008,-22.6245,-18.9272,1,收盘亏5%且最大浮亏8%,0,,top3
2026-03-02,sh603115,sh603115,trend_continuation_callback,趋势中继高质量回踩,rule_strategy,S02-current-candidate-20260427,3,73.97,raw,swing,watch,观察中,0,进入趋势中继观察池；等待严格回踩和真承接确认,趋势延续策略,2026-03-03,30.99,caution,caution,谨慎,观察为主,44.3198,5日上涨占比45.0%；10日上涨占比45.3%；10日中位涨跌幅-0.7%,3.316773411522722,0.07344337341426144,24.3243,37.3979,45.0346,45.3317,43.7874,-1.99,-1.5221,-0.6382,-0.742,-1.0453,10.8177,23.0835,31.9421,31.0315,35.2389,-2.9542,-2.9547,-2.2513,-2.8169,-2.4709,47.5862,57.931,61.2414,63.0345,56.6298,-0.1359,1.0042,2.3242,2.6667,1.5389,1,5,3.2268,-13.456,-6.0987,1,收盘亏5%且最大浮亏8%,1,10,8.6157,-13.456,4.8725,1,最大浮亏8%,1,22,56.0181,-13.456,51.1778,1,最大浮亏8%,0,,top3
2026-03-02,sh601898,sh601898,trend_continuation_callback,趋势中继高质量回踩,rule_strategy,S02-current-candidate-20260427,4,72.13,raw,swing,watch,观察中,0,进入趋势中继观察池；等待严格回踩和真承接确认,趋势延续策略,2026-03-03,16.59,caution,caution,谨慎,观察为主,44.3198,5日上涨占比45.0%；10日上涨占比45.3%；10日中位涨跌幅-0.7%,3.316773411522722,0.07344337341426144,24.3243,37.3979,45.0346,45.3317,43.7874,-1.99,-1.5221,-0.6382,-0.742,-1.0453,10.8177,23.0835,31.9421,31.0315,35.2389,-2.9542,-2.9547,-2.2513,-2.8169,-2.4709,47.5862,57.931,61.2414,63.0345,56.6298,-0.1359,1.0042,2.3242,2.6667,1.5389,1,5,14.8885,-3.6166,9.7046,0,,1,10,19.1682,-3.6166,9.8855,0,,1,22,19.1682,-3.6166,4.0386,0,,0,,top5
2026-03-02,sz000731,sz000731,trend_continuation_callback,趋势中继高质量回踩,rule_strategy,S02-current-candidate-20260427,5,71.71,raw,swing,watch,观察中,0,进入趋势中继观察池；等待严格回踩和真承接确认,趋势延续策略,2026-03-03,8.33,caution,caution,谨慎,观察为主,44.3198,5日上涨占比45.0%；10日上涨占比45.3%；10日中位涨跌幅-0.7%,3.316773411522722,0.07344337341426144,24.3243,37.3979,45.0346,45.3317,43.7874,-1.99,-1.5221,-0.6382,-0.742,-1.0453,10.8177,23.0835,31.9421,31.0315,35.2389,-2.9542,-2.9547,-2.2513,-2.8169,-2.4709,47.5862,57.931,61.2414,63.0345,56.6298,-0.1359,1.0042,2.3242,2.6667,1.5389,1,5,2.1609,-10.8043,-4.0816,1,最大浮亏8%,1,10,3.6014,-10.8043,-2.521,1,最大浮亏8%,1,22,3.6014,-14.886,-12.605,1,收盘亏5%且最大浮亏8%,0,,top5
2026-03-03,sh600123,sh600123,spark_opportunity_selector,星火机会模型 1.0,model,1.0,1,32.947555,raw,22d,candidate_buy,明日可买,1,22日冲高机会分靠前，突破结构强、资金潜伏特征较强、L2主力净流入强、主动买入强,星火机会模型,2026-03-04,6.84,defense,defense_active_decline,防守-持续下跌,暂停新开仓,25.9476,5日全市场上涨占比28.7%；5日全市场中位涨跌幅-3.4%；5日小盘上涨占比17.0%,-1.8954343376121119,-2.6655005188313763,12.8141,20.6344,28.706,32.7889,34.486,-2.8916,-4.2553,-3.4497,-3.4237,-3.1111,9.6088,11.9898,17.0068,20.6633,25.8944,-2.7975,-5.2231,-4.998,-5.4313,-4.475,18.5083,34.9448,45.8564,49.3094,46.6113,-2.5505,-1.583,-0.5749,-0.1622,-0.6165,1,5,7.0175,-5.117,-1.0234,0,,1,10,11.1111,-5.117,2.6316,0,,1,22,11.1111,-5.9942,-4.5322,0,,1,<35,top1
2026-03-03,sz002531,sz002531,spark_opportunity_selector,星火机会模型 1.0,model,1.0,2,32.750749,raw,22d,candidate_buy,明日可买,1,22日冲高机会分靠前，突破结构较好、资金潜伏特征较强、L2主力净流入强、主动买入强,星火机会模型,2026-03-04,10.17,defense,defense_active_decline,防守-持续下跌,暂停新开仓,25.9476,5日全市场上涨占比28.7%；5日全市场中位涨跌幅-3.4%；5日小盘上涨占比17.0%,-1.8954343376121119,-2.6655005188313763,12.8141,20.6344,28.706,32.7889,34.486,-2.8916,-4.2553,-3.4497,-3.4237,-3.1111,9.6088,11.9898,17.0068,20.6633,25.8944,-2.7975,-5.2231,-4.998,-5.4313,-4.475,18.5083,34.9448,45.8564,49.3094,46.6113,-2.5505,-1.583,-0.5749,-0.1622,-0.6165,1,5,11.1111,-0.6883,6.883,0,,1,10,31.7601,-0.6883,15.9292,0,,1,22,31.7601,-0.6883,11.0128,0,,1,<35,top3
