order,segment,layer,role,key_indicator,current_signal,positive_signal,risk_signal,a_share_mapping,status
1,下游需求,CSP / AI 数据中心,需求源头,CSP CapEx、AI server 出货、数据中心装机功率,Top9 北美 CSP 2026 CapEx 8300亿美元，+79% YoY；全球数据中心装机功率155GW，+29% YoY,CapEx/AI server 出货继续上修,云厂商资本开支下修或 GPU 交付放缓,全链条需求底座,强
2,下游需求,企业级存储 / RAG / Agent Memory,长期容量需求,企业 SSD、对象存储、近线 HDD、向量库容量,AI Data Platform、Storage.AI、云存储需求均指向企业数据 AI 化,企业级 SSD 订单紧、近线 HDD 需求上修,只有消费端涨价，没有企业级订单验证,江波龙 / 佰维存储 / 德明利,待量化
3,上游原厂,HBM,最强供给挤占项,HBM 产能、ASP、SK海力士/三星/美光指引,AI GPU 拉动 HBM，挤占常规 DRAM 产能,HBM 继续供不应求，原厂继续转产高端,HBM 扩产超预期释放，常规 DRAM 供给回补,澜起科技；A股直接映射弱,强
4,上游原厂,DRAM / Server DDR5,价格周期核心,DRAM 合约价、DDR5 现货/渠道价、服务器内存需求,TrendForce 预计 Q2 conventional DRAM 合约价 +58%~+63% QoQ,Q3 合约价继续上修，DDR5 现货不回落,Q3 报价见顶或现货先行下跌,德明利 / 江波龙 / 兆易创新,强
5,上游原厂,NAND / Enterprise SSD,A股模组利润主变量,NAND 合约价、eSSD 报价、NAND wafer 价格,TrendForce 预计 Q2 NAND Flash 合约价 +70%~+75% QoQ,企业级 SSD 紧缺延续，NAND wafer 继续上修,eSSD 订单降温或 NAND 价格回落,江波龙 / 佰维存储 / 德明利,强
6,中游传导,控制器 / 主控,订单景气前哨,Phison、Silicon Motion 月营收/指引,尚未自动接入月营收；需要作为季度前哨,主控厂月营收连续上修,主控厂收入先于模组股回落,模组厂订单景气验证,待接入
7,中游传导,模组 / 品牌 / 解决方案,A股利润弹性核心,毛利率、存货、ASP、企业级客户、合同负债,Q1 江波龙/德明利/佰维毛利率和净利率已爆发,Q2 毛利率不塌，存货与合同负债同步健康,低成本库存收益一次性，现金流与订单不支撑,江波龙 / 德明利 / 佰维存储,核心
8,中游传导,分销,弹性但质量较弱,分销毛利、自有存储占比、库存周转,香农芯创有弹性，但低毛利分销属性需要打折,自有存储占比提升，毛利率改善,只靠分销价差，利润快速回落,香农芯创,观察
9,上游配套,设备 / 材料 / 封测,扩产与先进封装外溢,HBM/DRAM/NAND 扩产订单、封测需求,不是本轮 A股存储利润的第一映射，但可做扩展池,设备订单确认、封测产能紧张,扩产延后或估值先透支,设备材料扩展池，暂不列核心,扩展
10,交易映射,A股重估 / ETF 情绪,价格反馈,龙头相对强度、20日涨幅、成交额、ETF 高潮,核心票进入一致加速/高位确认,分歧后龙头不补跌并继续新高,利好不涨、放量长阴、后排退潮,决定仓位动作,高位
