symbol,name,role,purity_score,profit_elasticity_score,valuation_pressure_score,price_stage_risk_score,total_score,tracking_priority,action,core_verification
sz300021,大禹节水,节水灌溉/抗旱项目,88,72,55,50,78,节水抗旱核心观察,先跟踪订单和招投标,旱情是否转化为节水灌溉订单和收入
sz000998,隆平高科,种业/农业科技,82,66,58,55,73,种业核心观察,看作物价格和种子销量,农产品价格上行能否带动种子需求和利润改善
sz002041,登海种业,玉米种子,78,65,60,55,70,玉米种业观察,看玉米价格和种子销售,玉米景气是否传导到种业收入
sz300087,荃银高科,水稻/玉米种业,76,62,58,55,69,水稻种业观察,看稻米/玉米价格和种子订单,天气扰动是否带来补种或高端种子需求
sh600598,北大荒,粮食种植/土地资源,70,58,68,50,68,粮食种植观察,只做价格和政策观察,粮价上行与单产变化谁占主导
sh601952,苏垦农发,粮食种植/农服,68,56,66,50,66,粮食种植观察,看粮价和单产,天气冲击可能既涨价也损产
sh600096,云天化,磷肥/化肥,72,62,62,55,70,农资弹性观察,看化肥价格和出口/库存,作物价格是否传导到磷肥需求
sz000893,亚钾国际,钾肥,74,64,58,55,71,钾肥观察,看钾肥价格和销量,全球农业景气是否带动钾肥价格
sz000902,新洋丰,复合肥,70,58,64,50,67,复合肥观察,看复合肥销量和毛利率,种植收益改善是否带动施肥需求
sh600486,扬农化工,农药/植保,72,60,66,50,68,农药质量观察,看病虫害和订单,极端天气是否实际增加植保需求
sz000333,美的集团,空调/制冷,60,55,82,45,62,高温链中军,只作为高温旁路观察,高温负荷是否带动空调出货超预期
sz002050,三花智控,制冷零部件/热管理,62,58,78,50,64,制冷零部件观察,不按ENSO纯映射估值,制冷和热管理需求是否超预期
sh601118,海南橡胶,天然橡胶种植/加工/贸易,96,78,55,58,84,橡胶最纯核心观察,优先跟踪天然橡胶价格和自产胶弹性,RU/NR价格上涨是否传导到自产胶盈利与贸易利润
sh600469,风神股份,轮胎/橡胶制品,42,45,62,50,48,下游成本压力观察,不按橡胶涨价受益处理,轮胎提价能否覆盖天然橡胶成本上升
sz000589,贵州轮胎,轮胎,40,46,64,50,48,下游成本压力观察,只看轮胎涨价传导,橡胶成本上升是否压缩毛利率
sh601058,赛轮轮胎,轮胎,38,48,70,52,50,轮胎龙头旁路观察,高胶价下更看提价和海外需求,产品提价/汇率/出口能否对冲原料压力
sh601966,玲珑轮胎,轮胎,38,46,68,52,49,轮胎龙头旁路观察,不列为厄尔尼诺直接受益,高胶价是否压缩毛利率
