as_of,category,indicator,value,unit,status,interpretation,source,source_url,frequency,priority
2026-05-09,价格确认,RU主连收盘,17830.0,元/吨,价格偏强,20日均线17182，距2024以来高点-10.2%,Eastmoney/本地历史表,https://quote.eastmoney.com/qihuo/RUM.html,日,S
2026-05-09,价格确认,NR主连收盘,15065.0,元/吨,价格偏强,20日均线14246，距2024以来高点-5.4%,Eastmoney/本地历史表,https://quote.eastmoney.com/qihuo/NRM.html,日,S
2026-05-09,价格确认,RU-NR价差,2765.0,元/吨,结构升水,RU较NR升水18.4%，若只有RU涨NR不涨要防资金行情,Eastmoney计算,https://quote.eastmoney.com/qihuo/RUM.html,日,S
2026-05-09,需求,半钢胎开工率,73.37,%,偏强,环比-3.74pct，同比+0.94pct；替换胎/出口链仍有韧性,行业日报/隆众口径转载,https://finance.sina.com.cn/money/future/wemedia/2026-05-07/doc-inhxanxf5028723.shtml,周,S
2026-05-09,需求,全钢胎开工率,65.97,%,偏强,环比-2.77pct，同比+9.73pct；重卡/基建链没有塌,行业日报/隆众口径转载,https://finance.sina.com.cn/money/future/wemedia/2026-05-07/doc-inhxanxf5028723.shtml,周,S
2026-05-09,需求,半钢胎成品库存,43.6,天,改善,库存天数环比-0.20、同比-2.4；成品库存暂未压制开工,行业日报/隆众口径转载,https://finance.sina.com.cn/money/future/wemedia/2026-05-07/doc-inhxanxf5028723.shtml,周,A
2026-05-09,需求,全钢胎成品库存,38.8,天,改善,库存天数环比-0.60、同比-4.2；低于40天是偏积极信号,行业日报/隆众口径转载,https://finance.sina.com.cn/money/future/wemedia/2026-05-07/doc-inhxanxf5028723.shtml,周,A
2026-05-09,库存,RU期货库存,12.92,万吨,观察,截至2026-05-06，交易所RU库存；需看是否连续去化,行业日报/交易所口径转载,https://finance.sina.com.cn/money/future/wemedia/2026-05-07/doc-inhxanxf5028723.shtml,周/日,S
2026-05-09,库存,NR期货库存,3.64,万吨,观察,截至2026-05-06，20号胶库存；NR去化比RU更能验证轮胎原料链,行业日报/交易所口径转载,https://finance.sina.com.cn/money/future/wemedia/2026-05-07/doc-inhxanxf5028723.shtml,周/日,S
2026-05-09,库存,青岛地区天然橡胶总库存,71.11,万吨,小幅去化,截至2026-05-01，周环比-0.52万吨/-0.72%；天气扰动能否放大取决于是否持续去库,行业日报/隆众口径转载,https://finance.sina.com.cn/money/future/wemedia/2026-05-07/doc-inhxanxf5028723.shtml,周,S
2026-05-09,库存,天然橡胶社会库存,133.3,万吨,小幅去化,截至2026-04-27，周环比-0.1万吨；整体库存仍不低，不能只靠天气预期追高,行业日报/隆众口径转载,https://finance.sina.com.cn/money/future/wemedia/2026-05-07/doc-inhxanxf5028723.shtml,周,S
2026-05-09,供给,ANRPC 2026天然橡胶产量预测,1532.4,万吨,供给增长,同比+2.2%；不是绝对短缺，需看天气和割胶兑现,ANRPC,https://www.anrpc.org/newsla/anrpc-releases-monthly-nr-statistical-report%2C-january-2026,月,S
2026-05-09,供给,ANRPC 2026天然橡胶消费预测,1560.2,万吨,需求高于供给,同比+1.4%，名义缺口约27.8万吨,ANRPC,https://www.anrpc.org/newsla/anrpc-releases-monthly-nr-statistical-report%2C-january-2026,月,S
2026-05-09,供给,海南日收胶量,3000,吨/日,开割恢复,截至2026-05-07，海南全岛每日收胶约3000吨；若暴雨/干旱导致收胶下降才是供应确认,行业日报,https://finance.sina.com.cn/money/future/wemedia/2026-05-07/doc-inhxanxf5028723.shtml,周,A
2026-05-09,原油/合成胶,Brent原油,118.26,美元/桶,高位支撑,FRED最新日期2026-05-01；油价高位抬升合成胶成本,FRED,https://fred.stlouisfed.org/series/DCOILBRENTEU,日,A
2026-05-09,原油/合成胶,WTI原油,109.76,美元/桶,高位支撑,FRED最新日期2026-05-04；油价高位抬升合成胶成本,FRED,https://fred.stlouisfed.org/series/DCOILWTICO,日,A
2026-05-09,天气,东南亚/海南天气扰动点数,4,个,需验证,5个代表产区中出现干旱或强降雨的点数；>=3个才按天气主线升级,Open-Meteo,https://open-meteo.com/en/docs/historical-weather-api,周/日,S
2026-05-09,股票映射,海南橡胶收盘价,7.6,元/股,跟随走强,20日均线6.89，20日涨跌14.3%；只作为橡胶上游映射观察,Eastmoney/Tencent行情,https://quote.eastmoney.com/sh601118.html,日,A
